name,address,cuisine,opening_hours,latitude,longitude
Le Severo,Rue des Plantes 75014,french,"Mo-Fr 12:00-13:30, 19:30-21:30",48.8319911,2.3245334
L'Encrier,Rue Traversière 75012,french,"Mo-Fr 12:00-14:30,19:00-22:30; Sa 19:00-22:30",48.8483622,2.3739893
Au Petit Fer à Cheval,Rue Vieille du Temple 75004,regional,Mo-Su 09:00-02:00,48.8574347,2.3576107
La Tour d'Argent,Quai de la Tournelle 75005,french,"Tu-Sa 12:00-13:15, 19:00-21:15",48.84983,2.3549148
Ambiance De L'Inde,Rue Thouin 75005,indian,"12:00-15:00,18:30-24:00",48.8449407,2.3486924
Metou,Rue Corneille 75006,asian,"Tu-Sa 11:30-15:00,19:00-22:30",48.8493501,2.3391528
Hanoï Cà Phê,Boulevard des Italiens,vietnamese,Mo-Su 12:00-02:00,48.8714582,2.3357136
Bouillon Chartier,Rue du Faubourg Montmartre 75009,french,Mo-Su 11:30-24:00,48.8719475,2.3430256
Cannibale Café,Rue Jean-Pierre Timbaud 75011,regional;french,Mo-Su 07:30-02:00; Sa 09:00-02:00; Su 09:00-24:00,48.86841,2.3793255
Justine,Rue Oberkampf 75011,french;pizza,Mo-Su 08:00-02:00,48.8656774,2.3778866
Le Temps des Cerises,Rue de la Butte-aux-Cailles 75013,french,"Mo-Sa 11:45-14:30,19:00-23:30; Su off",48.8278771,2.3505246
Papa yoyo,Rue de Gergovie 75014,regional,"Tu-Sa 12:00-02:00,18:00-22:30",48.8332286,2.315712
Chez l'Ami Jean,Rue Malar 75007,french,"Tu-Sa 12:00-14:00,19:00-24:00",48.8604171,2.305956
Chez Louis,Boulevard Saint-Denis 75010,french,Mo-Su 08:30-02:00,48.869405,2.3549341
Chez Gladines,Rue des Cinq Diamants 75013,french,"Mo-Fr 12:00-15:00, 19:00-23:45; Sa, Su 12:00-16:00, 19:00-23:45",48.8288139,2.3506397
Café Charlot,Rue de Bretagne 75003,french,Mo-Sa 09:00-01:00; Su 09:00-24:00,48.8630061,2.3625592
